organisationunitid,uid,mflcode,facility,level,ward_uid,ward,subcounty_uid,subcounty,county_uid,county
93042871,tGcQzQku3Ud,32589,SAVANA  DISPENSARY,5,frzFOocEhiu,Mihuu Ward,f4AOiG8fYtn,Webuye East Sub County,KGHhQ5GLd4k,Bungoma County
93042898,OtbbzSXIbGp,32590,West Cano Medical center,5,uNCqGdTcjkh,West Sang'alo Ward,CUjthlounWV,Kanduyi Sub County,KGHhQ5GLd4k,Bungoma County
93042943,NvLXLhHCXW5,32591,Olympia Medical Centre,5,thvW4MLkf3E,Marakaru/Tuuti Ward,CUjthlounWV,Kanduyi Sub County,KGHhQ5GLd4k,Bungoma County
93043992,ovGrsmU6CRg,32592,Misanga dispensary,5,pc8868uNy8r,Soysambu/Mitua Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
32326,p1Ng032uyl0,16261,Moshi Medical Centre,5,DfL4XXliaq1,Nyamosense/komosoko Ward,jtBjNpL9FXS,Kuria West Sub County,fVra3Pwta0Q,Migori County
93045508,TdrfPo0HNau,32595,Athicare Medical Centre,5,CYAMnUYLITU,Athi River Ward,BxfsSc6Svrc,Athi River Sub County,yhCUgGcCcOo,Machakos County
93050244,ItSuXscfE4B,32596,Modern Readsea Nursing Home limited,5,d7Se8cdZnHg,Rhamu Ward,jrm0uyLXnC1,Mandera North Sub County,R6f9znhg37c,Mandera County
93053639,GpafyVrKzwl,32597,Afyafocus Medical Centre,5,SKXh3KXdbVU,Kiirua/Naari Ward,xN5aPo4ZOIt,Buuri East Sub County,Y52XNJ50hYb,Meru County
82928544,SvaPz4Uj4DE,26703,Brook of Cherith Medical and Nutrition Centre,5,hh7VWuhTI6A,Gatimu Ward,fVSw60UAC3W,Oljoroorok Sub County,mYZacFNIB3h,Nyandarua County
93055668,aIC4Fa0ZoFq,32603,Associated Central Medical Services,5,lZiLgEqsjq5,Mji Wa Kale/Makadara Ward,C1xuoa1NAMm,Mvita Sub County,wsBsC6gjHvn,Mombasa County
93055963,uvS39JR35hb,32608,Bluebest Medical Clinic,5,KfApxlzUoLn,Kiptuiya Ward,xLWuQq3DjOR,Chesumei Sub County,t0J75eHKxz5,Nandi County
93057361,c9n9v5cRPs3,32611,Abaqalaan Dispensary,5,y56zRR22kaj,Ifo Ward,wYTqff68aVM,Dadaab Refugee Camp Sub County,uyOrcHZBpW0,Garissa County
49795,MxxUSfpmXEr,12279,Kianjokoma Health Centre,5,kiVPb44vhiR,Kagaari North Ward,kMSLkN4nsRl,Runyenjes Sub County,PFu8alU2KWG,Embu County
23869,ZNYPhRxeNRt,11452,Kakoneni Dispensary,5,nqJwUrOo66m,Jilore Ward,lGg3wEy784X,Malindi Sub County,nrI2khZx3d0,Kilifi County
24564,H46lk7EyvEO,15275,Nadoto Dispensary,5,zwhTzysKfKc,Kerio Delta Ward,zd8rhYqGowE,Turkana Central Sub County,kphDeKClFch,Turkana County
24650,vGsSZnuccgd,11720,Nyache Health Centre,5,MWZrkgY93fj,Wumingu/Kishushe Ward,AM36DdkZ36Y,Wundanyi Sub County,QyGNX2DpR4h,Taita Taveta County
31919,aXcTjaOYxbq,16873,Kopolo Clinic,5,JVz0J1MJJ0V,Central Sakwa Ward,JNvqpOnKfGR,Bondo Sub County,u4t9H8XyU9P,Siaya County
32112,Y87ZGSAcivK,13594,Gucha Sub County Referral Hospital,5,R8gqeFZV0qT,Boochi/Tendere Ward,YqYSkwmOtiR,Bomachoge Chache Sub County,sPkRcDvhGWA,Kisii County
34553,wo6gvWm4OyS,10999,Sarmer Medical Clinic,5,D8f8vrysA4J,Kimorori/Wempa Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
93036161,KRxCdcyF2xv,32577,Excel Wellness Centre,5,RRAEO9Ltfec,Roysambu Ward,j7GpbairCOi,Roysambu Sub County,jkG3zaihdSs,Nairobi County
93055817,zV2JKvDAGqG,32605,Baruch Medical Clinic,5,KgGyWS1YxMx,Miritini Ward,vSISrsNNHwq,Jomvu Sub County,wsBsC6gjHvn,Mombasa County
93055922,VxFZ5aZwK0S,32607,Afbloom Flowers Health Clinic,5,PUv9Q5hrTYP,Mosop Ward,OK0hW8DFHq3,Rongai Sub County,ob6SxuRcqU4,Nakuru County
83550673,wFDRdfQ5rWY,26888,Mahnaz Nursing Home limited,5,UU5663WBF7t,Neboi Ward,fGr9rRvaovO,Mandera East Sub County,R6f9znhg37c,Mandera County
93110628,eiq8Nhlf0Ni,32626,Kiptono Medical Clinic,5,P1RSkho9WMu,Kamagut Ward,KuprsuBe1l0,Turbo Sub County,pZqQRRW7PHP,Uasin Gishu County
93063632,lkbbypMhvGJ,32613,Ocean City Medical Centre,5,lZiLgEqsjq5,Mji Wa Kale/Makadara Ward,C1xuoa1NAMm,Mvita Sub County,wsBsC6gjHvn,Mombasa County
93066384,h7CeXHdxkYq,32164,Kerocure Specialist  Medical Centre,5,yCs7obwONR9,Esise Ward,ABuzigW8Lzw,Borabu Sub County,uepLTG8wGWJ,Nyamira County
93069808,ZYHckKimzi1,32618,Granny Annex Medical Clinic Bondo,5,EmSsP2C6A3h,North Sakwa Ward,ka9Uv3Ckcbd,Awendo Sub County,fVra3Pwta0Q,Migori County
93076528,Qg1RyGoToMI,25755,Bliss Medical Centre-Thika,5,x1SnGzy9rZL,Township Ward,YZAZ1a9MIvX,Thika Town Sub County,qKzosKQPl6G,Kiambu County
93015309,towuz6TdgAp,32560,Tana Wellness Centre Limited,5,Fuc7wSQ4gkN,Chewani Ward,A4SNYCxrrnv,Galole Sub County,JsH2bnvNt2d,Tana River County
58136277,yKffMxVqFK4,23939,Mandingo Dispensary,5,SmP2VkWU2f9,Kipini West Ward,Lj0mu9j58Ss,Garsen Sub County,JsH2bnvNt2d,Tana River County
93085146,lHCwDoQc5jW,30832,El-Siha Medical Centre Limited,5,AEMY7F8XyZT,Elwak South Ward,qyhVIMG2rUw,Mandera South Sub County,R6f9znhg37c,Mandera County
93096818,icLvgvpxNx5,32625,Wamumu Hospital Limited,5,cWJOQn1YUfg,Mwea Ward,rBKASpHJblX,Mwea Sub County,PFu8alU2KWG,Embu County
45038,COpiQeVtvEL,16145,St Pius Musoli Health Centre,5,Hh55s4mboMi,Idakho Central Ward,BE6HMtlHyl1,Ikolomani Sub County,BjC1xL40gHo,Kakamega County
93111949,rl09kQTT583,32627,Rabat Medical services,5,yTb02ghmk0V,Madogo Ward,yWPcTwGwQ2B,Bura Sub County,JsH2bnvNt2d,Tana River County
93118169,GqsRI3oOAha,32628,Teenswatch Amkeni Dice-Madogo,5,yTb02ghmk0V,Madogo Ward,yWPcTwGwQ2B,Bura Sub County,JsH2bnvNt2d,Tana River County
93069820,nZVH1yBS31K,32620,Granny Annex Medical Clinic Bondo,5,EmSsP2C6A3h,North Sakwa Ward,ka9Uv3Ckcbd,Awendo Sub County,fVra3Pwta0Q,Migori County
93121023,WZFm6nlqBY8,32629,Siloam Eye Clinic,5,GCgCUcOL0Mz,Huruma Ward,KuprsuBe1l0,Turbo Sub County,pZqQRRW7PHP,Uasin Gishu County
93069835,zU4HAxbwM5Q,32621,Granny Annex Medical Clinic Bondo,5,EmSsP2C6A3h,North Sakwa Ward,ka9Uv3Ckcbd,Awendo Sub County,fVra3Pwta0Q,Migori County
44832,qCpPJL5V2m1,15855,Cheptais Sub County Hospital,5,iKvnghqTvSP,Cheptais Ward,NZphHeczehh,Cheptais Sub County,KGHhQ5GLd4k,Bungoma County
55376598,IlcXAEXkWby,23634,Kiritiri Medical Healthcare LTD,5,IqDql8D0FEF,Mavuria Ward,AvnM6jKoocs,Mbeere South Sub County,PFu8alU2KWG,Embu County
54370157,vH4EIxUQ2AN,23527,Greenspan Medical Centre,5,IqDql8D0FEF,Mavuria Ward,AvnM6jKoocs,Mbeere South Sub County,PFu8alU2KWG,Embu County
93157230,UThWvaoUccm,32631,Lola Medical Centre Limited,5,Fuc7wSQ4gkN,Chewani Ward,A4SNYCxrrnv,Galole Sub County,JsH2bnvNt2d,Tana River County
44320,JaM1GSe7mpQ,14186,Afya Bora Medical Clinic (Turkana Central),5,v27o9CuZh11,Lodwar Township Ward,zd8rhYqGowE,Turkana Central Sub County,kphDeKClFch,Turkana County
93069968,pPVpmnH3b2Y,32622,Ndere Dispensary (Rarieda),5,IqPuAjRYM1t,West Uyoma Ward,XcRpb1xsM64,Rarieda Sub County,u4t9H8XyU9P,Siaya County
89387119,Qe5MYBwvMfa,30700,Nyagachugu Dispensary,5,JqeBiHQ9lNI,Nginda Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
89379693,jQAKZTYCQ8M,26835,Doruex Health care,5,Yk6G4ret1OC,Burumba Ward,tvkI2HSIRW9,Matayos Sub County,Tvf1zgVZ0K4,Busia County
89381814,h0EQHLT4a88,30695,Karung'e Dispensary,5,UgrVrVp78rA,Gitugi Ward,u7Gkh63FYe4,Mathioya Sub County,ahwTMNAJvrL,Muranga County
89387127,BSz0RHlOVkc,30701,St. Joseph Rift Valley Njoro Annex,5,TaCopZQ4jLn,Njoro Ward,gSJXzH1DM75,Njoro Sub County,ob6SxuRcqU4,Nakuru County
89385870,HzBzcd6qbm9,30698,Ihigaini Dispensary,5,JqeBiHQ9lNI,Nginda Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
89387116,taR5KErLDh4,30699,Imara Hospital - Nairobi,5,KJHG9zDp2UR,Nairobi Central Ward,nKHlZyN0lt9,Starehe Sub County,jkG3zaihdSs,Nairobi County
89387129,S6MU5APO2zz,30702,Bungoma West Hospital Annex Branch,5,ysCS3ZD38VF,Township Ward,CUjthlounWV,Kanduyi Sub County,KGHhQ5GLd4k,Bungoma County
44402,XeFZTKPNo1U,14699,Kapedo Sub County Hospital,5,prqcH9XZcQe,Kapedo/Napeitom Ward,m1X5Chs8cRL,Suguta Sub county,kphDeKClFch,Turkana County
89381822,Gbwyb67IjI4,30696,Imella Medical Clinic,5,VWuMYjG4YX4,Ngoliba Ward,YZAZ1a9MIvX,Thika Town Sub County,qKzosKQPl6G,Kiambu County
44415,oKcvLF1ctl2,15067,Lokwii Health Center,5,AY46zJ3BT9H,Lokori/Kochodin Ward,dr8gOvVAdiE,Turkana East Sub County,kphDeKClFch,Turkana County
44417,NEb3Q2w3HRJ,16699,Lopedur Dispensary,5,NhFq5rXnO3r,Katilia Ward,dr8gOvVAdiE,Turkana East Sub County,kphDeKClFch,Turkana County
44424,G0kwjCdR6X8,15225,Morulem Dispensary,5,AY46zJ3BT9H,Lokori/Kochodin Ward,dr8gOvVAdiE,Turkana East Sub County,kphDeKClFch,Turkana County
89389151,wemrFrf2XW4,712978,Seria Community Unit,5,OhvgVomhsMZ,Marmanet Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
44426,zx85ND4cIk7,16700,Nakukulas Dispensary,5,AY46zJ3BT9H,Lokori/Kochodin Ward,dr8gOvVAdiE,Turkana East Sub County,kphDeKClFch,Turkana County
44583,hYhOqzpLLjt,15024,Lemook Clinic,5,G30113eUpwM,Simat/Kapseret Ward,u9yagZzK49q,Kapseret Sub County,pZqQRRW7PHP,Uasin Gishu County
3450185,TVSIXHVmG8q,,Ballah Dispensary,5,si4GkeAGSXo,Korr/Ngurunit Ward,eZpy65ooW0m,Laisamis Sub County,Eey8fT4Im3y,Marsabit County
3490555,BfvRU0y4Lor,20448,CHS Kitui Central Dice,5,xM6qhREfp7o,Township Ward,MWqQbxWqACn,Kitui Central Sub County,j8o6iO4Njsi,Kitui County
3490574,Dd6Ufj3eIXy,18905,Kitui Afya Medical,5,xM6qhREfp7o,Township Ward,MWqQbxWqACn,Kitui Central Sub County,j8o6iO4Njsi,Kitui County
3490736,VKA5ToVfYqr,19334,Light Hospital,5,lW5g42Bv4Rk,Biashara Ward,yZJJPoSGhY6,Naivasha Sub County,ob6SxuRcqU4,Nakuru County
45042,r8z0MeOdroa,15970,Lumani Dispensary,5,T7ArssRHW3p,Chevaywa Ward,ZOdhgR19Akq,Lugari Sub County,BjC1xL40gHo,Kakamega County
89387212,QOyRJoexzdd,30720,PCEA Dispensary (Matura),5,eBk1tdli8XV,Rurii Ward,Lm9RMwhIu3G,Olkalou Sub County,mYZacFNIB3h,Nyandarua County
45047,wCYNSByDP30,16086,Nzoia Matete Dispensary,5,nbaDAo4y7cH,Lwandeti Ward,ZOdhgR19Akq,Lugari Sub County,BjC1xL40gHo,Kakamega County
49998,BgoiUUOTCXI,12393,Kwa Mulungu Dispensary,5,rWDqxS3mGCY,Kwamutonga/Kithumula Ward,cmWAJB5kCDW,Kitui West Sub County,j8o6iO4Njsi,Kitui County
3491124,FhsrQfsBnhJ,20514,Ngendaptich Dispensary,5,qjDeBQFEB19,Solai Ward,OK0hW8DFHq3,Rongai Sub County,ob6SxuRcqU4,Nakuru County
3491126,lorviMKo4jv,,Neema Medical Clinic,5,taVVtCXxo50,Lindi Ward,LO5he3DtiFG,Kibra Sub County,jkG3zaihdSs,Nairobi County
3491422,BeJEeWMM0eF,20401,Mutati Dispensary,5,ORuLgjaAGBo,Kiamwangi Ward,EcRytSSIkUq,Gatundu South Sub County,qKzosKQPl6G,Kiambu County
3491434,DZzPH9GiDc5,20218,Kanyoni Community Dispensary,5,vR89p0TyICU,Gituamba Ward,HEsM6W2ImQR,Gatundu North Sub County,qKzosKQPl6G,Kiambu County
3491473,R6ifURdugzN,17056,Barsemoi dispensary,5,bVD6U8Bf6As,Marigat Ward,dSLnPmNlm8Q,Marigat Sub County,vvOK1BxTbet,Baringo County
3491485,vgCAPtNHq1r,17350,Sirata Dispensary,5,sPoq2HB87R1,Mukutani Ward,dSLnPmNlm8Q,Marigat Sub County,vvOK1BxTbet,Baringo County
3491504,Sg219K4F1Ti,26501,Kimoriot Dispensary,5,RUfWwfXjF1B,Mochongoi Ward,dSLnPmNlm8Q,Marigat Sub County,vvOK1BxTbet,Baringo County
89387156,GaKSJjRP78D,30704,Matasia Family Medical Centre,5,RHwexebB7PD,Olkeri Ward,BLz1HkvvMkA,Kajiado North Sub County,Hsk1YV8kHkT,Kajiado County
89387173,lSMzzW5io9w,30708,Molo Riverside Imaging & Hospital Limited,5,STQIvkltmOp,Molo Ward,RJ4LGJiSHFg,Molo Sub County,ob6SxuRcqU4,Nakuru County
44722,S2AQJtHhU1V,16163,Webuye Surgical,5,chWsC9TTyF3,Maraka Ward,f4AOiG8fYtn,Webuye East Sub County,KGHhQ5GLd4k,Bungoma County
89389147,eVrEApbE0MO,712977,Thigio Community unit,5,OhvgVomhsMZ,Marmanet Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
89387248,MiBiCJQUfRw,712929,Chuma Community Health Unit,5,ccNXklFrzuP,Tigithi Ward,pF6qPMIlHte,Laikipia East Sub County,xuFdFy6t9AH,Laikipia County
32214,FeLxPetJ03a,13943,Nyasore Dispensary,5,BR5uAoEu5yV,Marani Ward,cQkF9l9wePP,Kitutu Chache North Sub County,sPkRcDvhGWA,Kisii County
39602,BY5hzogAARK,14844,Khartoum Tea Dispensary,5,O4tmt5AWnNr,Chepkunyuk Ward,W6Err8cQf5J,Nandi Hills Sub County,t0J75eHKxz5,Nandi County
89387209,CCrg8iSZ8aB,30719,Silver Hill Medical Center,5,eBk1tdli8XV,Rurii Ward,Lm9RMwhIu3G,Olkalou Sub County,mYZacFNIB3h,Nyandarua County
44756,exNcDMt9Cjs,16152,Tongaren Model Health Centre,5,Epj7vWxFyG0,Tongaren Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
73080071,gGDOF5OGnzo,24794,People's Park Dispensary (Machakos),5,W5KRNT7qwnJ,Mumbuni North Ward,KXc4ez8OAFz,Machakos Sub County,yhCUgGcCcOo,Machakos County
44769,nvSVIH9Vnhg,15871,New Elgon View Medical Cottage,5,ysCS3ZD38VF,Township Ward,CUjthlounWV,Kanduyi Sub County,KGHhQ5GLd4k,Bungoma County
44766,WDJtmgLjGD8,15828,Bungoma County Referral Hospital,5,ysCS3ZD38VF,Township Ward,CUjthlounWV,Kanduyi Sub County,KGHhQ5GLd4k,Bungoma County
89387163,xNFueIQTgAs,30705,Hopewell Sobriety Limited,5,RHwexebB7PD,Olkeri Ward,BLz1HkvvMkA,Kajiado North Sub County,Hsk1YV8kHkT,Kajiado County
89387220,a5DmTNf2T3S,30722,Crestcare Family Healthcare,5,pxHH7AAkfR6,Ngobit Ward,pF6qPMIlHte,Laikipia East Sub County,xuFdFy6t9AH,Laikipia County
89387166,CdqFq3bq6dD,30707,Mbeyu Medical clinic,5,mi5ayQN77v7,Rabai/Kisurutini Ward,hJf4rt7cvI6,Rabai Sub County,nrI2khZx3d0,Kilifi County
89387175,hh92mPY4F4u,30709,Silowat Medical Clinic,5,nNiOxPPdyhk,Lwandanyi Ward,whWfFA9D7td,Sirisia Sub County,KGHhQ5GLd4k,Bungoma County
89387197,bNGOMtnKIC7,30716,Spurs Medical Clinic,5,D8f8vrysA4J,Kimorori/Wempa Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
89387361,fsNXjMZEb4h,712947,Rabal Community Health Unit,5,Dg8SGNnGQny,Sosian Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
89389168,otiO7YgBdgE,712982,Kiamariga Community Unit,5,vU9560o42tL,Salama Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
89387179,bQg8uCbu8GJ,30710,Samaritan Makutano Outpatient Health Center,5,DpYpJ6E1vRc,Nanyuki Ward,pF6qPMIlHte,Laikipia East Sub County,xuFdFy6t9AH,Laikipia County
89387182,oDrkFduuoSs,30711,Venus Apollo Medical Centre,5,yKF1kdNdLqM,Shirere Ward,Y3NjAhiBaZT,Lurambi Sub County,BjC1xL40gHo,Kakamega County
89387189,enGSw66CXV0,30713,Salamachalla Clinic and Laboratory Services,5,kHOR6vEvDdY,Moyale Township Ward,sZjPgbWI5ra,Moyale Sub County,Eey8fT4Im3y,Marsabit County
88536790,RulN7H3bS5s,29921,Emirates Hospital Limited,5,OsuzTNGeh3u,Township Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
89387185,oU4IaJ1C6os,30712,Dzivani Dispensary,5,PrGoCfZ06gm,Kinango Ward,LOgbecTRkbp,Kinango Sub County,N7YETT3A9r1,Kwale County
89387191,YDiMI7IcQk1,30714,Graceland Medical Clinic,5,D8f8vrysA4J,Kimorori/Wempa Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
89387194,avNW95l0LFx,30715,Ckare Medical Center,5,D8f8vrysA4J,Kimorori/Wempa Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
89389374,RA107VCBZXW,712994,Githima B Community Unit,5,IZGBFhMdekx,Ol-moran Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
44916,BHdZ2EzI5ja,15846,Changara Calvary Dispensary,5,pVLJ4TYVNAR,Ang'urai East Ward,GpEIlwz3FvT,Teso North Sub County,Tvf1zgVZ0K4,Busia County
44917,kII3f5Evi8M,15853,Chemasiri (ACK) Dispensary,5,pVLJ4TYVNAR,Ang'urai East Ward,GpEIlwz3FvT,Teso North Sub County,Tvf1zgVZ0K4,Busia County
89387203,iDPMURdq9zr,30717,Imela Medical Clinic,5,aZGmpSZ2M0H,Njiru Ward,FoqzDgIByL6,Kasarani Sub County,jkG3zaihdSs,Nairobi County
89387437,bUQWtaXovmv,29323,Nelepek Medical Care Centre,5,ccNnEThhT6C,Kanyamwa Kosewe Ward,i2Y2fyNoFyZ,Ndhiwa Sub County,nK0A12Q7MvS,Homa Bay County
44918,ZAIMQkZn08B,17242,Kamolo Dispensary,5,VG4qlKr4Z2A,Malaba South Ward,GpEIlwz3FvT,Teso North Sub County,Tvf1zgVZ0K4,Busia County
44920,Uzbi7NX6aVo,15968,Lukolis Model Health Centre,5,GcsaAX4B8x8,Amukura West Ward,iyOe3zltlp6,Teso Central Sub County,Tvf1zgVZ0K4,Busia County
44910,cPDS7MOxcm9,15797,Amaase Dispensary,5,Ksb8Prco66C,Chakol South Ward,EhchjCHkhJ9,Teso South Sub County,Tvf1zgVZ0K4,Busia County
44929,PMwjaBGIelR,15793,All Saints Musaa,5,IgadIOg14CX,Butsotso Central Ward,Y3NjAhiBaZT,Lurambi Sub County,BjC1xL40gHo,Kakamega County
89387205,p2vLHLsnRgJ,30718,Devlink Health Care,5,eX9fqY9KVU8,Kasgunga Ward,mCGytMcMf6y,Suba North Sub County,nK0A12Q7MvS,Homa Bay County
44932,iGNlTc6HQYU,16866,Avarende Medical Clinic,5,QVwBQhJwtOG,Sheywe Ward,Y3NjAhiBaZT,Lurambi Sub County,BjC1xL40gHo,Kakamega County
44956,GqX3BQTHSTD,15895,HighWay Maternity and Nursing Home,5,yKF1kdNdLqM,Shirere Ward,Y3NjAhiBaZT,Lurambi Sub County,BjC1xL40gHo,Kakamega County
89387217,AAcpRWn9Yxn,30721,Demo medical clinic,5,sDFNdNK4QJ8,Nyakio Ward,RAnL5kBKMIt,Kinangop Sub County,mYZacFNIB3h,Nyandarua County
89387356,NVKyQn5k053,712946,Nakwiang Community Health Unit,5,Dg8SGNnGQny,Sosian Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
44984,HLBR8Fm8NHq,16865,Musembe Dispensary,5,msMd2VRjWK8,Isukha Central Ward,sjlSPeRgl7d,Shinyalu Sub County,BjC1xL40gHo,Kakamega County
89387346,F9SOhhLpwqI,712943,Segera Mission Community Health Unit,5,Kx1h1yqLZh9,Segera Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
45004,JTL8OVhlUqF,15849,Chebwai Mission Dispensary,5,WlgJjiJVyHY,Butali/Chegulo Ward,ES1CWa4AJmJ,Malava Sub County,BjC1xL40gHo,Kakamega County
45007,D4qI2X6dXcu,15858,St Marthas Chimoi Health Centre,5,oQbUJJHfsbX,Manda-shivanga Ward,ES1CWa4AJmJ,Malava Sub County,BjC1xL40gHo,Kakamega County
89387349,RG7hGu8RRwB,712944,Powys Community Health Unit,5,Kx1h1yqLZh9,Segera Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
23812,Bq9L3QREUFy,11758,Roka Maweni Dispensary,5,XWYco24xiw4,Matsangoni Ward,MEkEH8ZmcOU,Kilifi North Sub County,nrI2khZx3d0,Kilifi County
45008,S9Q1bx9tpZz,15859,Chombeli Health Centre,5,pCenQt4VPGz,Shirungu-mugai Ward,ES1CWa4AJmJ,Malava Sub County,BjC1xL40gHo,Kakamega County
44336,GrvJOYD3bjN,14604,Kaaleng Health Centre,5,samkZKoOfyP,Kaaleng/Kaikor Ward,mWpq607yRXh,Turkana North Sub County,kphDeKClFch,Turkana County
89387260,SwObmWZwPjI,30726,Koyo Medical Clinic,5,qj48MUGxhs9,Kaptumo/Kaboi Ward,Sq2fLWnOCGg,Aldai Sub County,t0J75eHKxz5,Nandi County
89389155,xGLlLWUjcc2,712979,Seria Community Unit,5,OhvgVomhsMZ,Marmanet Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
45399,a0XwYzX3wfw,13258,Westlands Hospital,5,QhDd2LAuXAF,Parklands/Highridge Ward,f1T0Ltob8VQ,Westlands Sub County,jkG3zaihdSs,Nairobi County
89387354,q0rbtKq4djG,712945,Minjore Community Health Unit,5,Dg8SGNnGQny,Sosian Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
89387365,KB52IH2KYIA,712948,Sosian Community Health Unit,5,Dg8SGNnGQny,Sosian Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
89387369,LvBqBdWsHQQ,712949,Muramati Community Health Unit,5,Kx1h1yqLZh9,Segera Ward,RJyUfi5BQUm,Laikipia North Sub County,xuFdFy6t9AH,Laikipia County
89387383,TjE6uKJU0xs,29620,Kaiboi Dispensary,5,UDgBjC3Y1eU,Kurgung/Surungai Ward,Xtb7tbJpk9p,Mosop Sub County,t0J75eHKxz5,Nandi County
49732,gZMzFTplvUJ,13175,Salama Nursing Home,5,t4Suo8Enc7T,Airbase Ward,qoLIT7y5f5c,Kamukunji Sub County,jkG3zaihdSs,Nairobi County
89387454,GhpZSyVBphu,29829,Prolix Solution Healthcare,5,OObzseEJrMs,Babandogo Ward,Cc8uEFkzfVf,Ruaraka Sub County,jkG3zaihdSs,Nairobi County
89389139,Rn3bZ8stlHg,712975,Ng'arua B community unit,5,OhvgVomhsMZ,Marmanet Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
89389182,h3M644EAYeh,712985,Mathira community Unit,5,vU9560o42tL,Salama Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
89389377,lhw0NwGfjW4,712995,Sipili C Commuity Unit,5,IZGBFhMdekx,Ol-moran Ward,pXbWrnFPpKb,Laikipia West Sub County,xuFdFy6t9AH,Laikipia County
89387458,EufrOJzZwVW,29042,Kamara Community Medical Centre,5,ccNnEThhT6C,Kanyamwa Kosewe Ward,i2Y2fyNoFyZ,Ndhiwa Sub County,nK0A12Q7MvS,Homa Bay County
35397,d96sBCgxXJv,14463,Enkorika Health Centre,5,oqGH96tt2v4,Dalalekutuk Ward,SZapM1R0Kti,Kajiado Central Sub County,Hsk1YV8kHkT,Kajiado County
22812,VtysEcYI1fV,13354,Guled Clinic,5,OsuzTNGeh3u,Township Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
23895,HpNKXuX3c1n,11696,Mwawesa Medical Clinic,5,u6oi5OySCnQ,Malindi Town Ward,lGg3wEy784X,Malindi Sub County,nrI2khZx3d0,Kilifi County
34085,M58mibZQHdh,10461,Kandongu Dispensary,5,K3uHCihezz7,Mutithi Ward,f6EOn3xI9YH,Kirinyaga North/Mwea West Sub County,Ulj33KBau7V,Kirinyaga County
80670,dKtqiLvelzz,18967,Wa Tonny Medical Clinic,5,U3N4bJZ2BL0,Makuyu Ward,l46g2PZUjoh,Muranga South Sub County,ahwTMNAJvrL,Muranga County
80672,VJLgaRSktbL,18058,Tewa Medical Clinic,5,WE5SA6SLnRY,Ruchu Ward,gwYTo0wITYX,Kandara Sub County,ahwTMNAJvrL,Muranga County
80389,WrEPDZEo47O,18190,St Paul's Hospital,5,L6v0cndEtYB,Kitengela Ward,g6gTzQ5nfYq,Kajiado East Sub County,Hsk1YV8kHkT,Kajiado County
80674,drfM2lMNi7c,18059,Provide Medical Clinic,5,WE5SA6SLnRY,Ruchu Ward,gwYTo0wITYX,Kandara Sub County,ahwTMNAJvrL,Muranga County
80700,FNPfDvAmQGl,18197,Edkar Medical Clinic,5,nioMzFVoQ7l,Ngong Ward,BLz1HkvvMkA,Kajiado North Sub County,Hsk1YV8kHkT,Kajiado County
80733,hl6iq45XKPQ,18282,Glovnet VCT,5,Ao5e4mVaq7w,Maringo/Hamza Ward,wwROy3Qkwin,Makadara Sub County,jkG3zaihdSs,Nairobi County
80734,JycsLDC3dWx,18167,Movement Of Men Against AIDS Of Kenya,5,T7AinNTWtXe,Harambee Ward,wwROy3Qkwin,Makadara Sub County,jkG3zaihdSs,Nairobi County
80769,pfFRUg6khv2,18227,Kagioini Catholic Dispensary,5,AO0q4JiVIMz,Wamagana Ward,YT3tecc4atw,Tetu Sub County,ptWVfaCIdVx,Nyeri County
